bcsid,female,parscr,pared,eng10,maths10,isced26,isced30,nonbrit30,isced42,deg26,deg30,deg42,Mauth,Mauthw,r16,rw16,a16,aw16,lr16,a26,aw26,lr26,r30,rw30,a30,aw30,lr30,lrw30,r42,rw42,a42,aw42,lr42,lrw42,deathpen16,deathpen26,deathpen30,deathpen42,parsc,weights
B10216B,0,3,3,1.1527959111632284,2.032788295678813,6,6,0,6,1,1,1,-0.28997761554552787,-0.14166469930826703,-0.49711076111190544,-0.42857873600318586,-0.9032400796735122,-0.7927562929688128,-1.1241887663431211,-2.2723413066685874,-1.4971064815920263,-0.9064146622040575,-0.646825732993146,-0.3270114320969918,-2.394114184029875,-1.4661704943621323,-0.6960396986367147,-0.3513930136491702,-0.8235348577752856,-0.7310525440930975,-0.19547145980626857,-0.05233039988432789,-2.2529497934956826,-1.618572355701584,-0.32926202917619524,-1.9259180378901404,-1.8967835442145384,-0.2588034219799006,3,1
B10257L,0,2,1,-0.20380998862119146,-0.3206497109490653,2,2,0,3,0,0,0,1.536905400325714,0.647407211413358,1.7483821271201796,1.5051459965097354,-0.9032400796735122,-0.7927562929688128,0.46388458388136206,0.8797200475421483,0.5905951953386656,0.0011942222163425851,1.926931110330367,1.5483470644327937,-0.19678393436550198,-0.1726569550971376,-0.6960396986367147,-0.4323731607514431,-0.8235348577752856,-0.7310525440930975,0.27095965307525166,0.08554426578823585,-1.1792195407427235,-0.8404100021895948,-0.32926202917619524,1.037782713912455,0.3805553082389358,1.228460099416882,2,0.07016581827999643
B10281L,1,2,2,-0.044583944045555365,-0.23949667623775917,2,2,0,2,0,0,0,1.658697601383797,0.7970072387568323,-0.49711076111190544,-0.42857873600318586,1.4093791024214999,1.2229730411167075,2.0519579341058454,0.5294910081853998,0.3773203302671244,-0.9064146622040575,0.9617722940840496,0.515150221959509,0.35254862805059145,0.22588963198321413,-0.6960396986367147,-0.4450508336600795,0.8959335265906956,0.80033673958607765,0.7373907659567726,0.4701706467526262,-0.46339937224075056,-0.1939078151027612,0.9606304562563233,0.2968575259618061,0.3805553082389358,1.228460099416882,2,0.1188496407711699
B10294R,1,3,2,0.8343438220119563,1.0589518791431392,3,5,0,5,0,0,0,-0.16818541448744478,0.09129348113190666,1.7483821271201796,1.5051459965097354,-0.13236701897517483,-0.10736474728418734,0.46388458388136206,0.8797200475421483,0.5597144659342299,0.9088031066367427,0.9617722940840496,0.8066389292517752,0.35254862805059145,0.08879573183715302,1.3180648413400726,0.8531000858689975,2.042245782834683,1.8025371261571626,0.27095965307525166,0.2550733038802299,1.684061133265168,1.2340444893120772,-0.32926202917619524,1.037782713912455,0.3805553082389358,-1.0024351826782918,3,1.2093929070230132
B10304A,1,5,1,-1.4011898438299748,-1.5379452316186575,2,2,0,2,0,0,0,1.049736596093383,0.5217192685254769,2.871128571236222,2.484572875211018,-0.9032400796735122,-0.7927562929688128,0.46388458388136206,0.5294910081853998,0.3773203302671244,0.0011942222163425851,0.3183330832531715,0.2922439300209027,0.35254862805059145,0.17981244579121677,0.7426064013467052,0.4167801425592494,0.32277739846870185,0.27114784247798746,-0.19547145980626857,-0.1757062575302412,-0.10548928798976412,-0.14882727714043453,-0.32926202917619524,0.2968575259618061,-0.37855764257888896,0.4848283387184906,5,0.024121210220511596
B10314C,0,6,3,0.3566656882850481,-0.23949667623775917,7+,6,0,6,1,1,1,-0.6553542187197764,-0.1390090485269999,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5375814954320819,-1.1241887663431211,1.5801781262556451,1.0323372207429284,0.9088031066367427,0.3183330832531715,0.07688641028212458,-1.0207827779896417,-0.5809098122088232,1.3180648413400726,0.866713942147578,0.8959335265906956,0.7441593319409823,-0.6619025726877894,-0.583409228717672,0.9682409647631952,0.8224230435749191,0.9606304562563233,1.037782713912455,-1.1376705933967137,1.228460099416882,6,1
B10327H,1,3,2,0.2802371868887421,-0.158343641526453,2,2,0,2,0,0,0,0.6843599929191346,0.31741394187637517,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,-1.1241887663431211,-0.17096707052809693,-0.10024126521783822,0.0011942222163425851,-1.2902649438240241,-0.963859204390988,-0.7461164967815954,-0.5529150955628376,-1.2714981386300828,-0.8367951919261744,-1.3966909858972794,-1.2040640335560924,0.7373907659567726,0.4932472369756666,-0.46339937224075056,-0.5153681849152658,-0.32926202917619524,-0.44406766198884273,0.3805553082389358,0.4848283387184906,3,0.3917401568401881
B10334G,1,3,2,0.5986892760400143,-0.4829557803716776,6,6,0,6,1,1,1,-1.6296918271844385,-0.7496546542381742,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5375814954320819,-1.1241887663431211,0.5294910081853998,0.3773203302671244,-1.8140235466244576,0.6400526886686109,0.4300383844117585,-0.4714502155735483,-0.1823632251284714,-1.5592273586267664,-0.9510959593085793,0.8959335265906956,0.7441593319409823,-0.6619025726877894,-0.4138801906256778,0.2524207962612223,0.3127605741509757,0.9606304562563233,0.2968575259618061,-1.1376705933967137,-1.0024351826782918,3,1
B10345K,1,2,2,0.3566656882850481,-0.3206497109490653,6,6,0,6,1,1,1,-0.28997761554552787,-0.11825652673109206,-0.49711076111190544,-0.42857873600318586,1.4093791024214999,1.2229730411167075,0.46388458388136206,1.2299490868988967,0.8808238144802587,-0.9064146622040575,2.2486507157458067,1.8055445640482297,1.4512137528827775,0.9064954953539636,-1.5592273586267664,-0.9510959593085793,0.8959335265906956,0.7441593319409823,1.2038218788382926,0.7544977602941436,-0.10548928798976412,-0.008993479307337848,0.9606304562563233,0.2968575259618061,0.3805553082389358,1.228460099416882,2,1
B10362L,1,3,1,-0.9999402114993718,-0.3206497109490653,2,3,0,3,0,0,0,2.3894508077322945,0.9380222612749773,0.6256356830041371,0.5508481426980965,0.6385060417231625,0.5375814954320819,-1.1241887663431211,-0.17096707052809693,-0.10024126521783822,0.0011942222163425851,0.3183330832531715,0.2922439300209027,0.35254862805059145,0.06835521486417065,-0.408310478640031,-0.3626479784126917,0.32277739846870185,0.3273252501230829,0.27095965307525166,0.10862085601127625,-0.10548928798976412,-0.008993479307337848,0.9606304562563233,-0.44406766198884273,1.1396682590567606,0.4848283387184906,3,0.06819891875859141
B10373P,1,5,2,0.0382135991337759,-0.3206497109490653,6,6,0,6,1,1,1,1.4151131992676318,0.45168840613556777,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.14781005025254357,-1.1241887663431211,0.8797200475421483,0.5856563546624016,0.9088031066367427,0.3183330832531715,0.1599168942881431,1.1765474716747306,0.7289515135255327,1.030335621343389,0.6620794753811269,-0.8235348577752856,-0.7310525440930975,2.1366841046013345,1.4234512548000513,-0.10548928798976412,0.0661247539315353,0.9606304562563233,0.2968575259618061,-0.37855764257888896,1.228460099416882,5,1
B10379V,0,3,1,0.6751177774363203,1.7893291915448946,3,3,0,3,0,0,0,0.4407755908029692,0.13216149812040845,3.993875015352265,3.438870729022657,-0.13236701897517483,-0.10736474728418734,-1.1241887663431211,0.17926196882865147,0.031141005107386932,0.9088031066367427,0.6400526886686109,0.5494414296363389,0.9018811904666849,0.4723093644035952,1.030335621343389,0.5114645752092601,-0.2503787296532919,-0.20186364698500728,1.2038218788382926,0.7544977602941436,-1.1792195407427235,-0.8936641715598622,-0.32926202917619524,1.037782713912455,1.1396682590567606,1.228460099416882,3,1.0890507822608384
